# mean,std
3130.040705432833,2790.277754629333
2980.834763268978,2855.004868381516
2742.353484891106,2695.4910597517905
2808.567316178849,2869.70637295485
3795.172974915923,2589.228985246804
2121.9786815829652,1534.483462621537
1550.3600027587265,1240.323971625386
121.86960626253597,287.0849455940023
1418.8296837555042,2037.083585716147
906.3494509425249,1721.9717542509195
403.75381940801367,225.37990662471807
1159.9133198920285,9570.75766087038
4028.2059310033237,1386.4656846823957
10349.508940817128,6317.207032845769
